,divisions,title,abstract,subjects,publication
13,['FP8'],"PENGENALAN BUNGA KRISAN POTONG DI DESA SUNGAI 
LANGKA KAB. PESAWARAN SEBAGAI KOMODITAS BARU DI 
DESA AGROWISATA","Tujuan kegiatan ini adalah mengenalkan 
komoditas baru yaitu bunga krisan potong kepada 
kelompok tani dan kelompok wanita tani, di Desa 
Sungai Langka, Kec. Gedong Tataan, Kab. Pesawaran 
yang mengelola agrowisata. Bunga krisan potong ini 
diharapkan menjadi komoditas agrowisata baru yang 
dapat diandalkan, mengingat selama ini agrowisata di 
Sungai Langka mengandalkan komoditas tanaman 
tahunan seperti jeruk dan kopi. Metode Kegiatan 
pengabdian ini adalah pembuatan demplot budidaya
bunga krisan potong dalam rumah pelindung 
berukuran 5 m x 8 m yang terbuat dari bambu dengan 
atap plastik UV. Selain itu juga dilakukan ceramah dan 
diskusi tentang teknik budidaya krisan potong. Hasil 
akhir dari kegiatan ini adalah petani mulai mengenal
teknik budidaya krisan potong. Hasil penting lainnya 
yang didapat adalah seluruh peserta (100%) 
menyatakan perlu adanya komoditas baru untuk 
dikembangkan dan dan para peserta juga setuju 100% 
bunga krisan potong dikembangkan sebagai komoditas 
baru di Desa Sungai Langka sebagai komoditas 
pendukung agrowisata.",['S1'],Jurnal Pengabdian Fakultas Pertanian Universitas Lampung
14,['FKIP21'],"Teachers’ Perception toward Electronic Student Worksheet 
Based on chiken manure Waste Treatment Projects to Improve 
Students' Creative Thinking Skills","Abstract: The objective of this research was to investigate the Science teachers' 
perception toward e-worksheet based on chiken manure waste treatment projects to 
improve students' creative thinking skills. The method used in this research is mixed 
methods with Sequential Explanatory Design. The data was collected through 
questionnaire, then analyzed by using descriptive analysis. The questionnaires were 
distributed to 14 Science teacher respondents and 127 junior high school students in 
North Metro District. The result shows that teacher have a positive perception toward 
usage of the electronic students' worksheets based on chiken manure waste treatment 
projects. The results showed that 79% of teachers had not used project-based e�worksheets; based on students' response questionnaires, 37% of teachers have given 
project assignments, but the projects were not based on real problems in the 
environment. Environmental problems that occur in North Metro District is the amount 
of chicken manure waste issue that causes pollution to the environment around society’s 
houses. The current worksheets has not completely train students' creative thinking 
skills and that's skills was in low category. Based on the result It can be concluded that 
a e-worksheet based on chiken manure waste treatment projects is needed to improve 
students' creative thinking skills.",['LB1603'],Jurnal Penelitian Pendidikan IPA (JPPIPA)
15,['FMIPA2'],"Perbaikan Korespondensi Produksi Cabai Merah (Capsicum annuum L.) dari Benih yang Diinduksi Medan Magnet 0,2 mT dan Diinfeksi Jamur Fusarium sp",,['Q1'],
16,['FMIPA2'],"Perbaikan Korespondensi Tomato Generative Growth from the Seeds Exposed to 0,2 mT of Magnetic Field and Infected by Fusarium sp.",,['QK'],
17,['FMIPA2'],Perbaikan korespondensi The Germination and Growth of Induced F1 Tomato Seeds By Exposure To 0.2mt of Magnetic Field And Fusarium Sp. Infection,,['Q1'],
18,['FMIPA9'],IMPLEMENTATION OF ARTIFICIAL NEURAL NETWORK WITH BACKPROPAGATION ALGORITHM FOR RATING CLASSIFICATION ON SALES OF BLACKMORES IN TOKOPEDIA,"The rating assessment classification contains feedback from consumers, which is given in the form of stars which aims to assess a product. However, the amount of data in the classification process often have differences in each class or is called an imbalanced dataset. These problems can affect the classification results. An imbalanced dataset can be overcome by applying random oversampling. To classify the rating assessment, this study proposes the Neural network method, which has a good accuracy level with the backpropagation algorithm and applies random oversampling to overcome the unbalanced amount of data. The results indicate that the neural network method with the backpropagation algorithm can classify the available data with an accuracy level of 85%. The application of resampling data using random oversampling and determining the amount of distribution of training data, testing data, number of epochs and the correct number of batch sizes affect the results obtained.",['QA76'],Jurnal Teknik Informatika (JUTIF)
19,['FP23'],"SImilarity Check ""The Behavior of Ammonium Exchange (Q/I) in Soil, Nitrogen and Carbon Uptake, and Mung Beans (Vigna Radiata L.) Yields as Affected by Tillage and Fertilization at the Sixth Planting Period in Ultisol Soil""","Ultisol soil has a low organic matter content, CEC, and pH, causing an insufficient buffering capacity for N nutrients, especially NH4+. The objective of this study was to determine the effect of tillage and fertilization on the quantity and intensity (Q/I) of Ammonium (CRNH40, PBCNH4+, NH40, KG) in the soil, plant N and C uptake, and mung bean yields at the sixth growing season in ultisols. This study was arranged in a 2 × 2 factorial in a Randomized Block Design (RBD). The first factor was the tillage system (T), namely minimum tillage (T0) and intensive tillage (T1). The second factor was the fertilization (P), namely without fertilizer application (P0), and with fertilizer application (NPK 200 kg ha-1 + 1 Mg ha-1 chicken manure) (P1). Each treatment was replicated four times. The results showed that the application of NPK fertilizer significantly affected the mung bean yield, mung bean plant Nitrogen and Carbon uptake at harvest time. While, the intensive tillage had a very significant effect on increasing the N uptake compared to the minimum tillage. Minimum tillage and fertilization increased Q/I parameters (PBCNH4+, KG, CRNH40, and NH40). The parameter of Q/I (CRNH40) was significantly correlated with mung bean plant N and C uptake. PBCNH4+ and KG were significantly correlated with mung bean yields.",['S1'],
20,['FP23'],The phytoremediation potential of several plants in heavy metal-polluted tropical soils,"A significant number of plants were suggested potential to alleviate toxic levels of heavy metals in soils through phytoremediation. This research was to study the phytoremediation potential of several plants in heavy-metal polluted tropical soils.  Soil samples were collected from experimental plots amended in 1998 with 0, 15, and 60 Mg industrial waste ha-1.  The soil samples were planted in a glass-house experiment with 3 different plants i.e caisim (Brassica chinensis var. Parachinensis), water spinach (Ipomoea aquatica), and lettuce (Lactuca sativa).   Plant parts (roots and shoots) and soil samples were harvested after a 4-week growth period and analyzed for Zn.  The results show that the growth of plants was depressed by the increase in the soil Zn as affected by waste treatment, with water spinach being the most progressive and producing the greatest biomass.  All plants significantly decreased the concentration of Zn in soils, with water spinach decreased the most significantly.  The absorption of Zn increased with the soil Zn (high linear R2).  Zinc was accumulated greater in plant roots than that in shoots.  All plants were good Zn phytostabilizators.",['Q1'],
21,['FP23'],"The Behavior of Phosphorus Adsorption on Soil in the
Geological Formation of Ranau Tuff Using the Langmuir
Isothermic Model to Support Food Security","In tropical soils, phosphorus (P) adsorption is one of the main processes that control the availability of P for
plant growth. Soils that develop from volcanic material have a high P uptake as the mineral composition contains a lot of
active colloids of Fe and Al which play a crucial role to adsorb P in soil complex. Soils which have a high capacity of P
adsorption, potentially decrease the efficiency of P fertilizers into the soil as it is unavailable for plant growth. Langmuir
Isothermic Model is a mathematical model that can be used to determine the capacity adsorption (Xmax) and the relative
energy (K L) of phosphorus in the soil. This study was therefore aimed to obtain the information on the maximum
phosphorus absorption capacity in the soil samples of Tufa Ranau Geological Formation (TRGF). The basic information
from this research provided the valuable information of P nutrients management in the soil to support the efficiency of P
fertilizer and food security. Soil samples were collected from TRGF area at three zones in West Lampung Regency (1. ±
40 km; 2. ± 30 km; and 3. ± 20 km in the southern area of Lake Ranau). Soil samples were collected from two deph of
soils (0 – 20 cm and 20 – 40 cm). This research was an experimental study that has been conducted in the Laboratory of
Soil Science, Faculty of Agriculture, University of Lampung to analysis the behavior of P adsorption with Langmuir
Isothermic Model. Then the Student-t test was performed to see the difference between the maximum absorption of
phosphorus and the relative energy of phosphorus adsorption in each treatment. The results showed that soil in Balik Bukit
has a maximum adsorption P value (Xmax) which is higher than that of the soil in Sekincau and Batu Brak on TRGF. The
high value of X max is because Balik Bukit may have to do with a high Fe content of 35.95 mg kg-1, since Fe is one of the
causes of high P sorption in the soil. The relative energy of phosphorus adsorption value (K L) in subsurface horizons is
relatively higher than that of in surface horizon so that P in subsurface horizons is relatively difficult to be available when
compared to surface horizons, because the higher K L value makes P more difficult to be available to plants.",['S1'],
22,['FP5'],Influence of Puspa Wood and Coconut Trunk Combination on the Characteristics of Cross-Laminated Timber Bonded with Polyurethane Adhesive,"The purpose of this study was to evaluate the characteristic of cross-laminated timber (CLT) made from puspa (Schima wallichii) wood, coconut (Cocos nucifera) trunk, and their combination using a polyurethane (PU) adhesive. The manufacturing of CLT begins with the characterization of the adhesive and wood materials used in this study. The CLT panels are made with dimensions of 100 cm × 30 cm × 3.6 cm. The laminate was organized into three layers with the face/core/back, namely puspa wood (PPP), coconut trunk (CCC), and their combination (PCP and CPC), perpendicular to each other using polyurethane adhesive with a glue spread of 160 g.m-2. The physical and mechanical properties of the CLT were assessed according to the JAS 3079 (2019) standard. The results showed that the polyurethane adhesive used in this study could cure optimally at a temperature of 30°C for 200 minutes. Puspa wood and coconut trunk had different physical and chemical properties but had similar wettability to polyurethane adhesives. The physical and mechanical characteristics of coconut CLT were better than puspa CLT. Based on the overall test results, the puspa hybrid CLT is better than the single wood species of the CLT. In contrast to coconut hybrid CLT, the single CLT of CCC was better than its hybrid CLT.

Keywords: Coconut trunk, cross-laminated timber, layer combination, polyurethane adhesive, puspa wood","['S1', 'SD']",Jurnal Sylva Lestari
23,['FMIPA9'],Prediction of COVID-19 Using the Artificial Neural Network (ANN) with K-Fold Cross-Validation,"Background: COVID-19 is a disease that attacks the respiratory system and is highly contagious, so cases of the spread of COVID-19 are increasing every day. The increase in COVID-19 cases cannot be predicted accurately, resulting in a shortage of services, facilities and medical personnel. This number will always increase if the community is not vigilant and actively reduces the rate of adding confirmed cases. Therefore, public awareness and vigilance need to be increased by presenting information on predictions of confirmed cases, recovered cases, and cases of death of COVID-19 so that it can be used as a reference for the government in taking and establishing a policy to overcome the spread of COVID-19.Objective: This research predicts COVID-19 in confirmed cases, recovered cases, and death cases in Lampung ProvinceMethod: This study uses the ANN method to determine the best network architecture for predicting confirmed cases, recovered cases, and deaths from COVID-19 using the k-fold cross-validation method to measure predictive model performance.Results: The method used has a good predictive ability with an accuracy value of 98.22% for confirmed cases, 98.08% for cured cases, and 99.05% for death cases.Conclusion: The ANN method with k-fold cross-validation to predict confirmed cases, recovered cases, and COVID-19 deaths in Lampung Province decreased from October 27,2021,to January 24,2022.",['QA76'],Journal ofInformation Systems Engineeringand Business Intelligence
24,['FP17'],"PENGARUH SUPLEMENTASI KOMBINASI VITAMIN E, ZINK, DAN SELENIUM DALAM AIR MINUM TERHADAP TITER ANTIBODI ND DAN AI PADA AYAM KAMPUNG BETINA","Penelitian ini bertujuan untuk mengetahui titer antibodi ND dan AI pada pemberian kombinasi Vitamin E, Zink, dan Selenium pada ayam kampung betina. Penelitian ini dilaksanakan pada Januari--Maret 2022 di Kandang Laboratorium Lapang Terpadu Fakultas Pertanian, Universitas Lampung. Penelitian ini terdiri dari 4 perlakuan dan 3 ulangan yaitu P0 : air minum tanpa sediaan Vitamin E, Selenium, dan Zink (kontrol); P1 : air minum dengan 0,015 g/kg BB/hari (sediaan vitamin E 0,6 IU, selenium 0,006 mg, dan Zink 2,4 mg); P2 : air minum dengan 0,03 g/kg BB/hari (sediaan vitamin E 1,2 IU, selenium 0,012 mg, dan Zink 4,8 mg); P3 : air minum dengan 0,06 g/kg BB/hari (sediaan vitamin E 2,4 IU, selenium 0,024 mg, dan Zink 9,6 mg). Titer antibodi dianalisis di Laboratorium Medilab PT. Medion Indonesia. Sampel darah di ambil menggunakan disposable syringe melalui vena brachialis sebanyak 3 ml, dan di analisis dengan menggunakan uji Hemaglutination Inhibition. Data yang diperoleh disajikan dengan analisis deskriptif. Hasil penelitian ini menunjukkan bahwa pemberian suplementasi kombinasi Vitamin E, Zink dan Selenium tidak dapat meningkatkan titer antibodi Newcastle Disease dan Avian Influenza pada ayam kampung betina",['SF'],Jurnal Riset dan Inovasi Peternakan
25,,"Pembuatan VCO dengan Metode Mekanik di Desa Panggung Rejo 
Kecamatan Sukoharjo Kabupaten Pringsewu","Desa Panggung Rejo sebagai salah satu desa yang ada di kecamatan Sukoharjo, Kabupaten Pringsewu. 
Sebagian besar penduduknya memiliki mata pencaharian sebagai petani, baik di sawah maupun di kebun. Salah 
satu potensi perkebunan di desa tersebut adalah tanaman kelapa, karena tanaman kelapa relatif banyak ditanam 
oleh masyarakat setempat. Namun pengolahan hasil perkebunannya, dalam hal ini adalah kelapa, masih belum 
optimal diberdayakan oleh masyarakat desa tersebut. Hasil kelapa hanya dikonsumsi biasa dan dijual tanpa 
pengolahan lebih lanjut, sehingga peningkatan pendapatan secara ekonomi secara keseluruhan tidak dapat 
diperoleh dengan maksimal. Selain itu, masyarakat desa tersebut belum banyak memperoleh pembekalan 
mengenai pengolahan kelapa menjadi produk-produk ataupun turunannya yang memiliki nilai jual secara 
ekonomis. Berdasarkan data potensi yang dimiliki wilayah desa ini, maka kami berupaya melakukan 
pengabdian kepada masyarakat melalui kegiatan guna memberikan pelatihan dan pembinaan kepada 
masyarakat setempat, secara khusus kepada ibu-ibu PKK (Pemberdayaan Kesejahteraan Keluarga) dan ibu 
rumah tangga tentang pembuatan minyak kelapa olahan yang sehat maupun rendah kolesterol atau yang 
disebut juga Virgin Coconut Oil (VCO) menggunakan metode mekanik. Melalui pelatihan ini diharapkan 
masyarakat desa setempat, ibu-ibu PKK dan ibu rumah tangga memiliki minat guna mengembangkan lebih 
lanjut potensi desanya dari hasil penelitian/pengabdian dengan membentuk kelompok-kelompok pengrajin 
VCO sehingga dapat berkontribusi dalam meningkatkan sumber pendapatan dan perekonomian keluarga. 
Hasil kegiatan ini memberikan dampak positif kepada masyarakat, dimana masyarakat, ibu-ibu PKK, dan ibu 
rumah tangga setempat mampu memahami dalam membuat VCO dengan baik, meskipun luaran kegiatan ini 
belum pada tahapan komoditas yang dapat diperdagangkan. Namun, melalui kegiatan ini, pengolahan kelapa 
menjadi VCO yang bermanfaat untuk kesehatan dapat dirasakan oleh warga setempat. Oleh karena itu, 
dengan pembinaan yang berkelanjutan, maka diharapkan pembuatan VCO dengan memanfaatkan potensi 
tanaman kelapa dari desa tersebut dapat menjadi salah satu sumber pendapatan untuk masyarakat setempat.",['QD'],Jurnal Pengabdian Dharma Wacana
26,['FT6'],Pengelolaan Spent Bleaching Earth,"buku dengan judul “Teknologi Pengelolaan Spent Bleaching Earth” telah diselesaikan oleh Penulis. Buku ini disusun mengingat pentingnya pengelolaan spent bleaching earth (SBE) sebagai limbah utama yang dihasilkan oleh proses industri oleochemical dan/atau pengolahan minyak hewani atau nabati yang termasuk dalam limbah B3 kategori 2 dengan kode limbah B413. Teknologi pengelolaan SBE yang terdapat di dalam buku ini salah satunya adalah berdasarkan hasil riset tim peneliti dari Universitas Lampung dan Universitas Sahid mengenai pemanfaatan/proses recovery SBE sebagai inovasi
untuk mengurangi emisi gas rumah kaca (GRK) yang dapat timbul jika SBE dikelola dengan sistem landfill atau dibakar. Riset yang dilakukan yaitu mengenai karakterisasi dan analisis pemanfaatan/proses recovery SBE serta minyak yang terperangkap di dalam SBE sebagai hasil samping proses pemurnian minyak sawit menjadi biodiesel atau produk oleokimia lain, untuk mengurangi beban lingkungan dan meningkatkan citra unggul industri sawit.
Buku ini merupakan rangkuman dari beberapa proses studi
pustaka tentang SBE, pengelolaan SBE serta hasil penelitian tentang proses pengelolaan SBE yang terdiri dari teknik ekstraksi, reaktivasi menjadi adsorbent dan katalis baik pada proses pemucatan, penjumputan betacarotene serta pemanfaatannya sebagai katalis pada proses produksi biodiesel. Penulis mengucapkan terimakasih sebesar-besarnya kepada Badan Pengelola Dana Perkebunan Kelapa Sawit (BPDPKS) yang telah memberikan pendanaan sehingga penelitian dan penyusunan buku dapat terlaksana. Buku ini diharapkan dapat menjadi referensi bagi pihak pengambil kebijakan, industry, peneliti dalam upaya pengelolaan SBE, serta mendukung circular economy di Indonesia.",['TA'],
27,,"Effects of Fin Height, Fin Thickness and Reynolds Number on Heat Transfer Enhancement of Flat-Plate Thermal Collector: A Numerical Analysis",,['TJ'],CFD Letters
28,['FEB5'],Strategi Efektif Pengembangan Pariwisata Pantai Mutun Sebagai Wisata Bahari di Kabupaten Pesawaran Provinsi Lampung,"Mutun Beach is a tourist attraction in Pesawaran Regency, which has the advantage of being marine tourism. This study aimed to determine how the tourism development strategy at Mutun Beach is expected to increase tourist attraction and local revenue. This study uses a SWOT analysis tool consisting of 4 stages: identifying internal and external factors, creating a SWOT Matrix, analyzing the IFAS Matrix and EFAS Matrix, and creating a SWOT Quadrant. Fifteen selected expert respondents filled out this questionnaire. The results of this study indicate that the strategy for developing Mutun Beach tourism is 1) Marketing Mutun Beach tourism on platforms, websites, and other social media so that it can develop quickly and be known by many tourists, as well as maximize existing facilities and infrastructure. 2) Recruiting human resources who are competent in their fields and optimizing existing infrastructure facilities so that they are maintained and maintained in the future. 3) Improving cleanliness and maintaining tourist attractions such as tourist attractions so that they still look beautiful and memorable for tourists to come back. 4) Tighten supervision of tourists who swim by involving residents who understand the surrounding conditions.",['H1'],Strategi Efektif Pengembangan Pariwisata Pantai Mutun Sebagai Wisata Bahari di Kabupaten Pesawaran Provinsi Lampung
29,['FP18'],"Pengaruh Coating Lidah Buaya dengan Penambahan Karagenan
terhadap Umur Simpan Jambu Kristal Selama Penyimpanan","This research was conducted to observe the effect of edible coating aloe
verawith a combination of carrageenan concentration on the shelf life of crystal guava
fruit. This study was designed using linear regression consisting of 2 factors. The first
factor consists of 3 levels of carrageenan concentration which includes K1 = 0.1% ,
K2 = 0.2% , K3 = 0.3% . The second factor is the variation of storage temperature
which consists of 2 levels, namely storage at room temperature 27℃ and cold
temperature 11℃. The application of edible coating of crystal guava fruit with a layer
of aloe vera gel and carrageenan has an effect on maintaining the quality of crystal
guava fruit against weight loss, green skin color, hardness, total dissolved solids,
water content and organoleptic test of storage taste (room temperature) of crystal
guava fruit to age. keep 6 days and storage (low temperature) crystal guava fruit up to
a shelf life of 9 days after application. K3 treatment (carrageenan concentration
0.3%) can be used to maintain the quality of crystal guava fruit during storage.

Keywords: Carrageenan, Edible Coating, Stronge Temperature, Sweet Seedless
Guava",['S1'],Jurnal Agricultural Biosystem Engineering
30,['FT11'],"Review A STUDY OF THE DENSITY OF BUILT-UP LAND BASED ON AERIAL PHOTOGRAPHS IN PASARAN ISLAND, BANDAR LAMPUNG","Pasaran Island is a small island connected to the mainland island of Sumatra and located in Bandar Lampung. Pasaran Island is one of the supports for the economy in Bandar Lampung. This is in line with the 2011-2030 RTRW of Bandar Lampung as a strategic minapolitan area (Pasaran and Lempasing) in driving the regional economy and utilizing appropriate technology. Pasaran Island is dominated by fishing villages and seafood processing centers in Lampung. With a population of ± 1,233 people in an area of ± 12 Ha, Pasaran Island has the potential for continued development. A study of the density of Built-up Land on Pasaran Island needs to be carried out so that it can become important information and data in managing the development of Pasaran Island in the future. Remote sensing technology using UAV was carried out to retrieve accurate and precise large-scale mapping information that allows the level of detail of Built-up Land to be mapped according to the original conditions in the field. In this study, the data used to extract Built-up Land was orthophoto which was produced through visual interpretation methods, and to determine the level of density and efficiency of Built-up Land conditions the digitization method and spatial analysis was by calculating the area of Built-up Land and calculating the percentage of Built-up Land density in Pasaran Island. The results of this study consisted of two maps, namely a map of the classification of Built-up and Non-Built-up Land and a map of Built-up Land types. The percentage of Built-up Land density was obtained from the calculation of the area of Built-up Land classes divided by the area of Pasaran Island, which resulted in a built-up density of 87.15% consisting of building classes, open land, public facilities and road networks. As for the results of the non-built density was 12.84%, which consisted of a vegetation class where the vegetation is in the tree-shaped form, the population density and building density of Pasaran Island are low density.
 
Keywords: Pasaran Island; Built-up Land; UAV; Orthophoto.",['TA'],
